displacement_mm,RD2_force_kN,RD5_force_kN,RD6_force_kN,RD7_force_kN,RD8_force_kN,TD2_force_kN,TD3_force_kN,TD4_force_kN,TD6_force_kN,TD7_force_kN
0.37232139,20.431301,20.397863,20.361575,20.422787,20.257451,20.677502,20.509364,20.624777,21.16496,20.496539
0.37934632,20.443614,20.408676,20.388384,20.428348,20.313462,20.670064,20.503349,20.615747,21.16036,20.501587
0.38637125,20.45563,20.41953,20.414742,20.43513,20.343745,20.663094,20.49879,20.607073,21.153706,20.50663
0.39339618,20.466624,20.429363,20.436417,20.445188,20.373603,20.656708,20.494944,20.600036,21.136557,20.511667
0.40042112,20.478329,20.438757,20.452575,20.455731,20.403323,20.650349,20.491658,20.593564,21.118808,20.516704
0.40744605,20.494184,20.445948,20.458671,20.468223,20.432378,20.64401,20.489095,20.589847,21.099965,20.521741
0.41447098,20.511155,20.452747,20.464067,20.480007,20.46102,20.63822,20.486771,20.587023,21.080645,20.526778
0.42149591,20.530241,20.458799,20.46888,20.490452,20.488879,20.633474,20.48544,20.585895,21.060929,20.531815
0.42852084,20.541714,20.464375,20.473145,20.499493,20.51546,20.627698,20.484157,20.584719,21.041302,20.536863
0.43554577,20.546637,20.469542,20.477217,20.507326,20.540941,20.621037,20.482807,20.583502,21.021707,20.54191
0.44257071,20.541832,20.474741,20.481402,20.515329,20.565615,20.612657,20.481566,20.583076,21.001093,20.546947
0.44959564,20.533423,20.479953,20.485606,20.523395,20.58999,20.603639,20.480548,20.582943,20.980227,20.551984
0.45662057,20.531777,20.485429,20.489888,20.536724,20.611498,20.591939,20.479806,20.583443,20.958098,20.557021
0.4636455,20.53075,20.491102,20.49411,20.550777,20.632169,20.579856,20.47932,20.584021,20.937475,20.562058
0.47067043,20.530086,20.498128,20.498204,20.566986,20.648224,20.566556,20.479321,20.584795,20.920126,20.567095
0.47769537,20.529314,20.508101,20.502175,20.583348,20.662255,20.55425,20.479521,20.585651,20.90313,20.572139
0.4847203,20.528296,20.524753,20.506025,20.600055,20.671704,20.544192,20.47989,20.586691,20.886479,20.577187
0.49174523,20.527455,20.541537,20.510285,20.616662,20.678479,20.535497,20.480337,20.587097,20.87026,20.582226
0.49877016,20.526791,20.558454,20.514722,20.63317,20.682562,20.528172,20.481344,20.586865,20.854228,20.587263
