displacement_mm,VA1_force_kN,VA2_force_kN,VP2_force_kN,VP6_force_kN
0.86406662,26.2172,26.2172,26.0573,25.7852
0.87109155,26.2285,26.2285,26.066,25.7852
0.87811648,26.257,26.257,26.1141,25.7957
0.88514141,26.288,26.288,26.1782,25.8396
0.89216635,26.3191,26.3191,26.2039,25.8835
0.89919128,26.3502,26.3502,26.2297,25.914
0.90621621,26.3813,26.3813,26.2554,25.9245
0.91324114,26.4124,26.4124,26.2812,25.9351
0.92026607,26.4434,26.4434,26.3069,25.9457
0.927291,26.4745,26.4745,26.3305,25.9563
0.93431594,26.5056,26.5056,26.3494,26.0912
0.94134087,26.5367,26.5367,26.3682,26.2079
0.9483658,26.5678,26.5678,26.387,26.0165
0.95539073,26.5989,26.5989,26.4058,26.0165
0.96241566,26.6299,26.6299,26.4246,26.0375
0.9694406,26.661,26.661,26.4434,26.0612
0.97646553,26.6921,26.6921,26.4622,26.0849
0.98349046,26.7232,26.7232,26.481,26.1085
0.99051539,26.7543,26.7543,26.4999,26.1322
0.99754032,26.7853,26.7853,26.5187,26.1559
1.0045653,26.8164,26.8164,26.5375,26.1796
1.0115902,26.8475,26.8475,26.551,26.2032
1.0186151,26.8786,26.8786,26.5536,26.2269
1.0256401,26.9075,26.9068,26.5561,26.2477
1.032665,26.9205,26.9139,26.5587,26.2477
1.0396899,26.9336,26.9209,26.5613,26.2477
1.0467148,26.9466,26.928,26.5638,26.2477
1.0537398,26.9596,26.935,26.5664,26.2477
1.0607647,26.9726,26.9435,26.569,26.2594
1.0677896,26.9857,26.9696,26.5715,26.4126
1.0748146,26.9987,26.9956,26.5741,26.5658
1.0818395,27.0117,27.0217,26.5766,26.5857
1.0888644,27.0475,27.0477,26.5792,26.5857
1.0958894,27.5824,27.1329,26.5818,26.5857
1.1029143,27.5936,27.1894,26.5843,26.5857
1.1099392,27.6049,27.2012,26.6201,26.5376
1.1169642,27.6162,27.2129,26.6954,26.4323
1.1239891,27.6275,27.2247,26.733,26.4164
1.131014,27.6388,27.2364,26.7417,26.4126
1.138039,27.6501,27.3857,26.7503,26.4089
1.1450639,27.6614,27.6309,26.759,26.4407
1.1520888,27.6727,27.6631,26.7636,26.5134
1.1591138,27.6839,27.6887,26.7636,26.6897
1.1661387,27.7375,27.6887,26.7636,26.6765
1.1731636,27.8222,27.5859,26.7636,26.6632
1.1801886,27.865,27.5364,26.7554,26.6499
1.1872135,27.8885,27.5391,26.6213,26.6366
1.1942384,27.912,27.5418,26.6213,26.6233
1.2012633,27.9355,27.5445,26.717,26.717
1.2082883,27.959,27.5537,26.7217,26.7281
1.2153132,27.9825,27.5803,26.7146,26.7281
1.2223381,28.006,27.607,26.7076,26.7215
1.2293631,28.0296,27.6336,26.7005,26.7121
1.236388,28.0531,27.6603,26.6935,26.7027
1.2434129,28.0766,27.6869,26.7894,26.6933
1.2504379,28.1001,27.7136,26.9023,26.5894
1.2574628,28.1236,27.7402,26.9165,26.5946
1.2644877,28.1471,27.7669,26.9273,26.6037
1.2715127,28.1707,27.7935,26.9382,26.6128
1.2785376,28.1942,27.8202,26.949,26.6219
1.2855625,28.2177,27.8468,26.9599,26.6311
1.2925875,28.2412,27.8673,26.9707,26.6402
1.2996124,28.2647,27.8872,26.9816,26.6493
1.3066373,28.2882,27.9071,26.9924,26.6584
1.3136623,28.3118,27.927,26.9949,26.6675
1.3206872,28.3353,27.9469,26.9949,26.6767
1.3277121,28.3588,27.9669,26.9949,26.8367
1.3347371,28.3823,27.9868,26.9949,26.8278
1.341762,28.4058,28.0067,26.7636,26.7129
1.3487869,28.4293,28.0266,26.7636,26.7203
1.3558118,28.4529,28.0465,26.7636,26.7276
1.3628368,28.4764,28.0665,26.7636,26.735
1.3698617,28.4999,28.0864,26.7636,26.7424
1.3768866,28.5234,28.1063,26.7636,26.7497
1.3839116,28.5469,28.1262,26.7636,26.7571
1.3909365,28.5704,28.1461,26.7636,26.7644
